"","Dataset","feature","coef","stderr","pval","qval"
"1","PRJEB10878","DL.endopeptidase.R7C958",-8.7841121825599e-07,2.07529798565212e-07,4.43243903098005e-05,0.0400692488400596
"2","PRJEB10878","DL.endopeptidase.A0A1C6G745",-2.69951524732279e-07,7.28891574566928e-08,0.000317642677625633,0.0466272375343207
"10","PRJEB10878","DL.endopeptidase.A0A829ZMP2",-2.18059612646609e-06,6.28992473746535e-07,0.000722656167538086,0.0653281175454429
"22","PRJEB10878","DL.endopeptidase.A0A1C6FAW9",-8.54551024859765e-07,2.92928781045263e-07,0.00418775899582145,0.116454754723041
"23","PRJEB10878","DL.endopeptidase.C0D0G2",-2.47722373873024e-06,8.42954806095853e-07,0.00392591963497202,0.116454754723041
"34","PRJEB10878","DL.endopeptidase.A0A174TDS3",-9.32423694696582e-07,3.22831022361071e-07,0.00456676561444458,0.117953031870226
"43","PRJEB10878","DL.endopeptidase.R6MIH8",-5.58357387047424e-07,2.0413585099492e-07,0.00714062660406829,0.146707419319948
"45","PRJEB10878","DL.endopeptidase.A0A1C5VJV2",-8.32084252422233e-07,3.07964320686827e-07,0.00785263983312587,0.1566749348825
"66","PRJEB10878","DL.endopeptidase.A0A0B0HUJ2",-1.08195570958694e-06,4.52235742200327e-07,0.0182246795261293,0.232494257921241
"67","PRJEB10878","DL.endopeptidase.A0A6N2TU31",1.6279592845487e-06,6.79954473589741e-07,0.0181414424141152,0.232494257921241
"75","PRJEB10878","DL.endopeptidase.A0A132I0H7",1.30603092039775e-06,5.62426173164838e-07,0.0218429198775455,0.262537440262555
"112","PRJEB10878","DL.endopeptidase.R6YTV6",-7.62908048189697e-07,3.7774884252089e-07,0.0455613491808749,0.363648698803835
"127","PRJEB10878","DL.endopeptidase.A0A1C5PVP3",-7.69772132840387e-07,4.10701739248482e-07,0.0632254074189314,0.439013158815482
"128","PRJEB10878","DL.endopeptidase.R7HVK1",1.47946044135645e-07,7.88324276712933e-08,0.0628885263796474,0.439013158815482
"163","PRJEB10878","DL.endopeptidase.A0A7U9SHV5",-3.54080796022437e-07,2.19015897613625e-07,0.108466206420014,0.576327341163881
"188","PRJEB10878","DL.endopeptidase.A0A4R7RUE4",6.75047016828148e-08,4.46468673725555e-08,0.133065703932943,0.63984785295415
"224","PRJEB10878","DL.endopeptidase.A0A1Y6AQ80",-1.96417554507904e-06,1.41231928819545e-06,0.166773753254334,0.673011315712548
"341","PRJEB10878","DL.endopeptidase.R5N6Z6",5.07014242121368e-07,4.83263897809888e-07,0.296135291021477,0.782766968080162
"409","PRJEB10878","DL.endopeptidase.A0A174M4B0",1.71467494490056e-06,2.3723463707292e-06,0.471167700824666,0.848733659017099
"410","PRJEB10878","DL.endopeptidase.A0A1C5KNH6",1.71902865872004e-06,2.31467652819e-06,0.459078056531737,0.848733659017099
"411","PRJEB10878","DL.endopeptidase.A0A1V6BVN9",1.94786878123407e-07,3.00219241319939e-07,0.517647922221277,0.848733659017099
"412","PRJEB10878","DL.endopeptidase.A0A348AMN4",2.46090011139724e-06,2.83958333405381e-06,0.387799088144878,0.848733659017099
"413","PRJEB10878","DL.endopeptidase.A0A518C016",3.49425241738909e-07,5.76338871856963e-07,0.545425407156335,0.848733659017099
"755","PRJEB10878","DL.endopeptidase.A0A1C5KMM8",1.70168652845487e-06,5.2276687913028e-06,0.745335300658012,0.891609968183792
"758","PRJEB10878","DL.endopeptidase.A0A1I0DL10",-8.787769609128e-07,2.72821080852738e-06,0.747909381624651,0.891965806053673
"774","PRJEB10878","DL.endopeptidase.A0A564W7U7",-2.19656228939315e-07,8.35309021001267e-07,0.793011241116658,0.915558316691518
"785","PRJEB10878","DL.endopeptidase.A0A6N3I5I0",8.07596103748086e-07,3.2001261262691e-06,0.801174348132188,0.919153489212107
"794","PRJEB10878","DL.endopeptidase.R5ATJ0",-1.74431987251402e-07,7.55611640323558e-07,0.817809736677218,0.925000098588036
"813","PRJEB10878","DL.endopeptidase.A0A6N3BHG0",6.19504800866901e-08,3.13765031944661e-07,0.843802156797967,0.93326109228293
"820","PRJEB10878","DL.endopeptidase.A0A1I3GQ51",-1.80048540795511e-07,9.66101704497961e-07,0.852459844208443,0.935242268216804
"834","PRJEB10878","DL.endopeptidase.A0A1C5Q6A7",-4.21490378990311e-07,2.5637427250485e-06,0.869678415093428,0.94267300628832
"859","PRJEB10878","DL.endopeptidase.A0A0P8W7Z2",1.77686138449777e-08,2.14814808592132e-07,0.934209701860962,0.976696806299083
"860","PRJEB10878","DL.endopeptidase.A0A1V5YPB2",-2.21127735849053e-08,2.86292193780637e-07,0.938557326726355,0.976696806299083
"877","PRJEB10878","DL.endopeptidase.A0A174CGJ4",-2.00721227689952e-08,3.13327261778995e-07,0.949023822482596,0.978241203562448
"894","PRJEB10878","DL.endopeptidase.A0A1C5WD06",-1.18525383732782e-07,6.27417956523071e-06,0.984958197887727,0.991660758087855
"1100","PRJEB7774","DL.endopeptidase.A0A348AMN4",-3.28818754281907e-05,9.05557852913875e-06,0.000385131586273956,0.0557062654371845
"1110","PRJEB7774","DL.endopeptidase.A0A1C5VJV2",-1.02689557854137e-06,3.73297236430805e-07,0.00666596833600661,0.204081184440818
"1210","PRJEB7774","DL.endopeptidase.A0A518C016",-6.36458095245441e-06,2.29339692777749e-06,0.0062102223874374,0.204081184440818
"1510","PRJEB7774","DL.endopeptidase.R6MIH8",-5.45198622230014e-07,2.0767469898471e-07,0.00954327737684188,0.243576289716511
"1710","PRJEB7774","DL.endopeptidase.A0A174M4B0",-1.62588196193548e-05,6.58907776600319e-06,0.0147137085910705,0.263536524115648
"1810","PRJEB7774","DL.endopeptidase.A0A174TDS3",-2.23088626472651e-06,9.09645336320844e-07,0.0153190928089576,0.263536524115648
"1910","PRJEB7774","DL.endopeptidase.A0A1C6FAW9",-7.89333947545581e-07,3.29694127339922e-07,0.017878105907343,0.263536524115648
"2910","PRJEB7774","DL.endopeptidase.A0A6N3BHG0",-9.14602548387096e-07,3.96514857427694e-07,0.0224276732975477,0.307800481807723
"3010","PRJEB7774","DL.endopeptidase.A0A0P8W7Z2",-2.43434531837307e-06,1.26332941748114e-06,0.0558540579034991,0.323982587292922
"3110","PRJEB7774","DL.endopeptidase.A0A174CGJ4",-9.89369978611499e-07,5.15421612713891e-07,0.0567900273666376,0.323982587292922
"3210","PRJEB7774","DL.endopeptidase.A0A1C5KNH6",-1.92305778470547e-05,8.88718259688986e-06,0.0320374075837525,0.323982587292922
"3410","PRJEB7774","DL.endopeptidase.A0A6N3I5I0",4.25108373148667e-06,2.06185713861146e-06,0.0409321991555283,0.323982587292922
"3510","PRJEB7774","DL.endopeptidase.A0A7U9SHV5",-6.60380586956521e-07,3.34022031886129e-07,0.0498441341100048,0.323982587292922
"3610","PRJEB7774","DL.endopeptidase.R6YTV6",-8.39333249649368e-07,3.88865336760246e-07,0.0324652354885316,0.323982587292922
"7710","PRJEB7774","DL.endopeptidase.A0A1C6G745",-4.82107814165498e-07,2.66495635011359e-07,0.0724171156799296,0.355827309143358
"931","PRJEB7774","DL.endopeptidase.A0A1V6BVN9",-2.84179953366059e-06,1.66421990003505e-06,0.0897547427503965,0.376401537553671
"941","PRJEB7774","DL.endopeptidase.A0A1Y6AQ80",-3.54776010175315e-06,2.0782329222966e-06,0.0898445881095446,0.376401537553671
"1011","PRJEB7774","DL.endopeptidase.A0A829ZMP2",-2.08150716199158e-06,1.24887677318466e-06,0.0976326769407668,0.382850776017205
"1041","PRJEB7774","DL.endopeptidase.R5ATJ0",1.31824009116409e-06,7.97530877805876e-07,0.100414913344769,0.383606563756879
"1101","PRJEB7774","DL.endopeptidase.A0A1C5Q6A7",-5.63042581619916e-06,3.52177841448462e-06,0.111953906829001,0.395068589680212
"1501","PRJEB7774","DL.endopeptidase.R5N6Z6",-8.50616167601683e-07,6.7718717260808e-07,0.211006208093967,0.556162058419861
"1621","PRJEB7774","DL.endopeptidase.A0A1V5YPB2",-1.19447782678822e-06,1.00458252417937e-06,0.236282433459104,0.578833885684317
"1651","PRJEB7774","DL.endopeptidase.A0A259UPD7",-1.60960157784011e-07,1.36852374389431e-07,0.241370111714676,0.582213966439036
"1731","PRJEB7774","DL.endopeptidase.C0D0G2",7.67896375175315e-07,6.83005908030853e-07,0.262662603169522,0.607411993533202
"1931","PRJEB7774","DL.endopeptidase.A0A1C5KMM8",-5.37558073899017e-06,5.37853828686335e-06,0.319165108815212,0.655975604863144
"2081","PRJEB7774","DL.endopeptidase.A0A1C5PVP3",3.49339345021037e-07,3.97273064944662e-07,0.380603300662443,0.720020769071296
"2231","PRJEB7774","DL.endopeptidase.A0A6N2TU31",-1.00169499158485e-06,1.27014588682584e-06,0.431547462103264,0.77020578438161
"2241","PRJEB7774","DL.endopeptidase.A0A1I3GQ51",9.57668014726507e-07,1.23500990436984e-06,0.439288308303177,0.775084674449742
"2291","PRJEB7774","DL.endopeptidase.R7HVK1",5.95360377279099e-08,7.9070969305198e-08,0.452647942736311,0.789787700661476
"2561","PRJEB7774","DL.endopeptidase.A0A1C5WD06",-4.45661315210376e-06,7.81107117986585e-06,0.569146631068027,0.873839627479205
"2631","PRJEB7774","DL.endopeptidase.A0A4R7RUE4",-3.63097244039273e-08,6.51845351306354e-08,0.578326395032121,0.87518595141743
"2651","PRJEB7774","DL.endopeptidase.R7C958",-1.62549104488079e-07,2.98564625025031e-07,0.586939803899318,0.87720870097322
"2761","PRJEB7774","DL.endopeptidase.A0A564W7U7",-6.13712367601679e-07,1.28984960664432e-06,0.634898924016465,0.8982609265188
"2871","PRJEB7774","DL.endopeptidase.A0A132I0H7",-3.74839341164094e-07,8.47729975681591e-07,0.658995899600777,0.90944157345847
"2891","PRJEB7774","DL.endopeptidase.A0A1I0DL10",6.73900275666194e-07,1.54925422115409e-06,0.664191251443723,0.90944157345847
"3241","PRJEB7774","DL.endopeptidase.A0A0B0HUJ2",-2.07508509116409e-07,6.86166619629556e-07,0.762747563413216,0.926311744168853
"1102","DRA008156","DL.endopeptidase.A0A1C5VJV2",-3.24904763033053e-07,1.02039135675073e-07,0.00153366145736126,0.0723974781735972
"2102","DRA008156","DL.endopeptidase.A0A1C6FAW9",-3.14554065100678e-07,9.20371899660148e-08,0.000678043482133771,0.0723974781735972
"5101","DRA008156","DL.endopeptidase.C0D0G2",-6.36212821975647e-07,2.17397057184231e-07,0.00356888375678062,0.134190029254951
"6101","DRA008156","DL.endopeptidase.A0A1C6G745",-1.23992357862001e-07,4.86928279745645e-08,0.0111534077840278,0.291286465971025
"7101","DRA008156","DL.endopeptidase.A0A6N3BHG0",-7.41456019541407e-07,3.18162659169631e-07,0.0201421492426772,0.291286465971025
"8100","DRA008156","DL.endopeptidase.A0A829ZMP2",-7.28544489056983e-07,3.11330640250922e-07,0.0196333294671042,0.291286465971025
"2411","DRA008156","DL.endopeptidase.A0A0P8W7Z2",1.8856750868299e-07,9.87132431686026e-08,0.0566172790572455,0.418610223470778
"2511","DRA008156","DL.endopeptidase.R6MIH8",-2.09731335122029e-07,1.11335541876898e-07,0.0601195533708033,0.418610223470778
"3111","DRA008156","DL.endopeptidase.A0A1I0DL10",-9.51934842895746e-07,5.77703878593611e-07,0.0999637367500774,0.469829562725364
"3211","DRA008156","DL.endopeptidase.A0A1I3GQ51",-2.8293774583575e-07,1.66537005986139e-07,0.0898913833678333,0.469829562725364
"4111","DRA008156","DL.endopeptidase.A0A174M4B0",1.65172742555348e-06,1.03626852777478e-06,0.111525679872119,0.474998591289887
"4211","DRA008156","DL.endopeptidase.A0A1C5PVP3",-5.81160532149074e-07,3.68608143733963e-07,0.115451371653331,0.474998591289887
"4911","DRA008156","DL.endopeptidase.R5ATJ0",-3.79374570698697e-07,2.50344665277409e-07,0.130240211059945,0.497432368568301
"5511","DRA008156","DL.endopeptidase.A0A174TDS3",-2.65715270010807e-07,1.92762185562738e-07,0.168618212166439,0.527342998296103
"6511","DRA008156","DL.endopeptidase.A0A518C016",-1.88905595671024e-07,1.43308227529968e-07,0.187990167673253,0.543725408039562
"7011","DRA008156","DL.endopeptidase.R7HVK1",4.48218061923463e-08,3.62208965536304e-08,0.216442596148363,0.581302972512746
"7411","DRA008156","DL.endopeptidase.A0A174CGJ4",1.15840279564862e-07,9.96773398963594e-08,0.245674796005063,0.622973689879753
"8510","DRA008156","DL.endopeptidase.A0A1C5KNH6",1.30578288795928e-06,1.4853153457039e-06,0.379713504203552,0.740439736157998
"982","DRA008156","DL.endopeptidase.A0A6N3I5I0",-1.41352845629251e-06,1.6786428073135e-06,0.400114883043173,0.767567326654251
"1092","DRA008156","DL.endopeptidase.A0A132I0H7",2.40447482100312e-07,3.33206009022864e-07,0.470834308210823,0.804698635851224
"1122","DRA008156","DL.endopeptidase.A0A348AMN4",9.70775817019394e-07,1.38572409512114e-06,0.483875465613101,0.812219531564848
"1132","DRA008156","DL.endopeptidase.A0A1C5KMM8",-1.17680134468662e-06,1.92150888394063e-06,0.540501029388205,0.826102028873718
"1142","DRA008156","DL.endopeptidase.A0A1C5WD06",-1.2971843631635e-06,2.08094452760676e-06,0.533302846488507,0.826102028873718
"1152","DRA008156","DL.endopeptidase.A0A1V5YPB2",1.07486793772074e-07,1.69760630664244e-07,0.526886479762156,0.826102028873718
"1161","DRA008156","DL.endopeptidase.A0A564W7U7",1.81014278340627e-07,2.92235078325574e-07,0.535899262185032,0.826102028873718
"1272","DRA008156","DL.endopeptidase.A0A1C5Q6A7",-2.39996208578883e-07,4.17994923728452e-07,0.566092601408221,0.833818541840012
"1281","DRA008156","DL.endopeptidase.A0A1Y6AQ80",-5.1274874485926e-07,8.96765468822292e-07,0.567706241252774,0.833818541840012
"1352","DRA008156","DL.endopeptidase.R5N6Z6",-1.10111388460018e-07,2.30865706318239e-07,0.633586177529529,0.882327417596677
"1521","DRA008156","DL.endopeptidase.A0A6N2TU31",-1.12127474728532e-07,3.63817364404087e-07,0.758048375198644,0.926074607007623
"1531","DRA008156","DL.endopeptidase.A0A7U9SHV5",1.81980761688901e-08,5.68353065159717e-08,0.748945521319812,0.926074607007623
"1562","DRA008156","DL.endopeptidase.A0A259UPD7",2.03401826208423e-08,6.9304185908562e-08,0.769256680908284,0.927052923145881
"1601","DRA008156","DL.endopeptidase.R7C958",-1.35033397949502e-08,5.66668598201508e-08,0.811741796318086,0.948746503942242
"1742","DRA008156","DL.endopeptidase.A0A1V6BVN9",-1.37797256865743e-08,2.95033946406768e-07,0.962764760498317,0.986299526393601
